GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
0.6,0.444,0.44,0.333,0.579,0.882,0.0,0.2,0.417
0.562,0.417,0.316,0.419,0.611,0.438,0.5,0.5,0.438
0.143,0.7,0.125,0.5,0.391,0.529,0.125,0.312,0.406
0.188,0.9,0.611,0.25,0.619,0.611,0.407,0.25,0.5
0.312,0.118,0.333,0.474,0.611,0.944,0.625,0.269,0.0
0.389,0.533,0.385,0.519,0.625,0.267,0.353,0.667,0.118
0.286,0.571,0.588,0.481,0.35,0.706,0.4,0.231,0.6
0.364,0.435,0.833,0.111,0.16,0.722,0.273,0.348,0.5
0.769,0.458,0.533,0.105,0.688,0.143,0.267,0.75,0.4
0.579,0.3,0.579,0.643,0.533,0.611,0.167,1.0,0.5
0.4,0.3,0.733,0.067,0.55,0.174,0.3,0.25,0.094
0.538,0.778,0.333,0.091,0.737,0.5,0.045,0.188,0.067
0.526,0.091,0.722,0.3,0.706,0.786,0.889,0.6,0.533
0.526,0.364,0.5,0.333,0.385,0.6,0.13,0.25,0.875
0.538,0.2,0.471,0.833,0.824,0.882,0.125,0.636,0.625
0.545,0.455,0.8,0.158,0.6,0.167,0.647,0.364,0.412
0.4,0.25,0.938,0.211,0.722,0.467,0.235,0.75,0.125
0.286,0.5,0.75,0.118,0.632,0.143,0.208,0.25,0.067
0.385,0.125,0.625,0.333,0.267,0.421,0.2,0.3,0.3
0.727,0.5,0.571,0.125,0.474,0.35,0.25,0.111,0.462
0.308,0.929,0.733,0.32,0.438,0.611,0.059,0.385,0.316
0.5,0.909,0.5,0.409,0.6,0.211,0.071,0.3,0.333
0.571,0.476,0.429,0.44,0.706,0.833,0.471,0.167,0.345
0.529,0.417,0.312,0.105,0.25,0.429,0.048,0.474,0.75
0.75,0.136,0.625,0.36,1.0,0.5,0.286,0.533,0.125
0.5,0.524,0.333,0.0,0.588,0.895,0.214,0.412,0.75
0.562,0.562,0.364,0.348,0.235,0.524,0.19,0.067,0.192
0.5,0.312,0.571,0.05,0.905,0.706,0.333,0.7,0.4
0.238,0.467,0.333,0.387,0.353,0.346,0.12,0.2,1.0
0.917,0.5,0.467,0.323,0.25,0.412,0.133,0.0,0.588
0.118,0.5,0.133,0.263,0.714,0.348,0.176,0.429,0.625
0.4,0.0,0.412,0.273,0.5,0.571,0.533,0.389,0.517
0.273,0.417,0.423,0.304,0.421,0.667,0.0,0.438,0.333
0.417,0.714,0.5,0.476,0.8,0.882,0.25,0.857,0.318
0.571,0.316,0.6,0.037,0.368,0.9,0.571,0.409,0.333
0.278,0.462,0.55,0.273,0.842,0.333,0.087,0.368,0.273
0.5,0.467,0.467,0.25,0.556,0.842,0.526,0.071,0.0
0.0,0.25,0.85,0.421,0.737,0.643,0.267,0.7,0.071
0.278,0.217,0.211,0.455,0.417,0.556,0.5,0.176,0.625
0.455,0.833,0.5,0.188,0.25,0.588,0.261,0.556,0.368
0.5,0.538,0.467,0.4,0.133,0.733,0.583,0.8,0.267
0.688,0.25,0.375,0.091,0.6,0.588,0.412,0.533,0.267
