GA,vae-zinc-s,lstm-zinc,lstm-chembl,zinc,real,chembl,cnpd,cortellis-drugs
22.143,30.0,35.692,65.882,5.0,11.0,59.259,46.87,12.0
45.714,14.0,38.0,9.0,63.333,28.333,62.588,39.583,43.714
38.88,41.76,14.0,44.129,34.0,26.25,32.48,100.0,68.129
27.733,13.0,11.0,23.0,45.9,43.379,13.0,18.118,95.286
61.538,13.0,61.071,82.837,14.0,62.4,20.0,62.222,0.0
31.652,16.0,14.0,57.073,24.0,38.667,12.0,5.0,135.333
64.211,16.0,14.0,41.667,44.417,46.065,30.0,0.0,47.0
32.143,0.0,32.0,46.5,42.0,13.0,135.652,45.36,117.818
11.0,18.0,89.757,55.8,105.63,42.16,11.0,43.478,15.0
25.412,2.0,56.667,40.0,96.556,52.25,55.714,22.154,51.586
54.091,55.08,57.0,27.0,58.846,17.684,53.333,46.452,24.0
60.304,39.789,48.871,67.571,40.8,38.667,23.0,131.538,53.429
31.733,16.0,75.727,16.0,43.643,49.143,75.103,12.0,22.0
12.0,6.0,67.568,45.926,66.212,28.174,17.0,56.824,10.0
63.478,18.0,18.0,53.812,52.059,30.643,30.857,16.0,32.0
26.0,2.0,60.917,19.0,16.0,12.0,85.172,40.857,46.154
76.364,29.9,57.182,18.0,18.0,56.538,12.0,38.889,63.0
34.37,32.0,52.364,47.917,32.667,45.333,14.0,54.13,11.0
9.0,9.0,51.923,27.84,58.0,57.182,0.0,49.92,7.0
65.471,26.0,9.0,58.8,55.724,37.5,13.0,18.0,17.0
61.222,16.0,59.333,46.4,32.148,49.28,18.0,0.0,13.0
41.364,52.0,9.0,50.0,40.0,52.138,103.714,132.359,13.0
38.571,6.0,35.226,63.226,54.676,85.429,33.778,42.5,12.0
29.333,11.0,92.241,14.0,49.5,40.051,11.0,7.0,2.0
65.517,9.0,65.368,47.6,54.621,18.0,70.0,5.0,38.0
20.25,51.368,28.364,20.0,17.0,43.333,14.0,57.429,42.667
32.667,14.4,18.0,16.0,32.0,13.0,57.2,18.0,14.034
34.207,41.261,60.273,15.0,56.037,49.286,28.875,44.0,20.0
35.714,12.0,64.08,10.0,30.0,35.333,37.714,9.0,70.345
54.517,9.0,28.0,68.571,76.353,34.286,54.167,22.5,74.52
60.207,43.333,55.857,51.8,46.421,32.0,47.273,75.238,3.0
30.545,13.0,62.846,27.0,33.548,64.158,25.0,48.0,41.481
52.174,41.353,43.636,57.407,37.5,39.0,14.0,16.0,20.0
39.111,14.0,74.351,18.0,64.0,8.0,18.0,35.789,39.484
46.154,12.0,16.0,12.0,52.364,43.429,28.138,51.667,60.75
53.625,26.0,96.0,27.5,89.286,44.571,43.333,5.0,60.857
14.0,3.0,78.2,11.0,88.235,37.517,61.935,94.839,12.0
46.5,19.429,42.0,47.5,75.935,53.12,45.0,17.0,28.0
33.529,39.68,59.5,51.333,56.0,19.0,8.636,86.897,10.0
43.333,20.0,82.296,30.222,24.0,23.419,27.867,87.043,68.0
12.0,51.0,76.353,13.0,72.286,18.0,60.968,112.5,63.03
38.533,9.0,41.217,67.098,7.0,37.333,95.586,70.552,104.071
46.667,12.0,38.857,68.889,67.857,52.815,81.882,12.0,79.111
44.615,7.0,59.5,75.789,60.0,12.0,13.0,18.308,92.455
61.6,14.0,55.857,34.688,13.0,46.143,15.0,11.0,41.538
37.818,37.517,50.615,10.0,91.667,46.143,18.0,14.4,14.0
21.429,6.0,61.343,34.091,18.0,14.0,48.462,8.0,37.333
8.0,24.0,13.0,66.6,40.645,102.118,75.778,45.0,8.0
18.667,22.0,28.0,16.0,53.125,47.5,63.273,63.568,21.0
39.6,14.182,36.259,12.0,50.667,42.545,42.0,120.12,9.0
37.059,36.0,47.833,37.818,61.75,57.182,16.0,0.0,48.0
26.4,16.0,37.714,77.081,85.048,39.586,42.75,41.476,56.667
29.25,2.0,85.0,75.053,51.556,58.556,12.0,31.417,37.333
46.4,13.0,14.0,63.6,93.188,44.471,19.0,132.087,156.0
32.421,32.0,56.0,56.258,70.769,28.667,52.148,41.143,16.0
40.5,16.0,13.0,58.333,51.692,47.793,28.0,29.867,51.097
26.526,53.615,72.683,49.333,34.533,18.0,70.732,47.0,21.214
42.222,16.667,55.387,48.485,41.818,34.286,58.0,7.0,28.0
55.857,12.0,66.125,64.5,53.957,13.0,49.077,42.774,32.0
57.429,26.0,57.538,52.0,10.0,37.333,60.0,7.0,57.412
37.818,12.0,30.0,63.556,42.467,20.0,36.25,54.579,34.462
30.522,51.556,70.909,44.0,16.0,16.586,41.429,6.0,34.688
46.769,56.88,54.467,70.4,70.0,42.222,15.0,18.0,24.933
11.0,55.08,54.923,18.0,36.4,26.667,28.0,5.0,14.0
14.0,16.0,20.0,63.609,52.741,25.929,43.429,70.359,19.0
65.217,21.273,52.889,71.667,41.217,35.778,22.0,14.667,15.552
17.882,35.316,45.0,58.118,54.833,35.172,43.478,34.0,59.077
47.0,13.0,47.333,61.895,54.857,46.941,61.043,45.714,132.308
34.37,37.4,18.0,45.517,39.556,40.114,82.812,23.2,3.0
32.667,36.929,43.062,20.0,35.64,23.0,48.3,65.929,27.0
12.0,9.0,45.862,15.0,68.485,42.207,62.588,0.0,83.621
24.095,64.6,41.333,15.0,16.0,38.4,18.0,35.833,0.0
32.842,16.0,50.625,59.235,34.667,15.0,57.931,99.0,92.857
71.077,70.0,48.364,49.304,39.667,60.0,94.4,67.721,72.727
23.529,58.615,66.5,21.0,22.696,8.0,35.0,8.0,36.571
19.636,14.0,57.0,44.0,73.889,37.053,46.0,22.105,38.0
32.308,49.5,50.172,37.333,54.667,36.364,67.471,37.579,38.5
51.0,12.0,24.0,20.0,18.0,22.0,10.0,52.8,30.0
46.4,7.0,12.0,58.929,6.0,42.5,36.0,14.0,72.0
34.667,8.0,78.857,20.0,76.057,46.0,12.0,97.0,42.471
57.789,12.0,76.034,15.0,12.0,12.0,107.467,4.0,12.0
